unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
406,object,bottle,0.190655338778,bottle,501809.0,482145.0,157557.0,0.190655338778
246,object,bird,0.178623720083,bird,954770.0,488562.0,218741.0,0.178623720083
72,object,bottle,0.159224673125,bottle,501809.0,461123.0,132263.0,0.159224673125
76,object,bottle,0.154652839545,bottle,501809.0,488688.0,132666.0,0.154652839545
488,object,bottle,0.140004530471,bottle,501809.0,464452.0,118667.0,0.140004530471
146,object,bottle,0.131744355375,bottle,501809.0,471215.0,113268.0,0.131744355375
177,object,airplane,0.129924823867,airplane,741699.0,492745.0,141943.0,0.129924823867
491,object,pottedplant,0.127425666525,pottedplant,543881.0,479180.0,115630.0,0.127425666525
161,object,tvmonitor,0.126833286936,tvmonitor,399637.0,494912.0,100688.0,0.126833286936
322,object,airplane,0.126070513712,airplane,741699.0,513346.0,140510.0,0.126070513712
432,object,airplane,0.125920305738,airplane,741699.0,500378.0,138911.0,0.125920305738
505,object,bird,0.123522155474,bird,954770.0,473348.0,157010.0,0.123522155474
212,object,airplane,0.118933998838,airplane,741699.0,483207.0,130198.0,0.118933998838
464,object,sheep,0.112631432283,sheep,664438.0,469507.0,114789.0,0.112631432283
160,object,sheep,0.111858382646,sheep,664438.0,479254.0,115061.0,0.111858382646
512,object,bird,0.105777727304,bird,954770.0,466809.0,135987.0,0.105777727304
484,object,airplane,0.104945990994,airplane,741699.0,458195.0,113964.0,0.104945990994
458,object,bottle,0.103954431804,bottle,501809.0,471318.0,91635.0,0.103954431804
24,object,airplane,0.103060540346,airplane,741699.0,451090.0,111444.0,0.103060540346
227,object,mountain,0.101653635979,mountain,3343771.0,516463.0,356198.0,0.101653635979
487,object,airplane,0.0975686091113,airplane,741699.0,478704.0,108488.0,0.0975686091113
15,object,cow,0.096771993301,cow,576414.0,468779.0,92221.0,0.096771993301
64,object,bottle,0.0960567981676,bottle,501809.0,459047.0,84208.0,0.0960567981676
157,object,cat,0.0949089223608,cat,3542972.0,482257.0,348915.0,0.0949089223608
287,object,bicycle,0.0933101336216,bicycle,587121.0,457820.0,89182.0,0.0933101336216
83,object,bird,0.0932882133728,bird,954770.0,465149.0,121159.0,0.0932882133728
462,object,cat,0.092526600587,cat,3542972.0,483372.0,340993.0,0.092526600587
336,object,motorbike,0.0908690101793,motorbike,732780.0,474656.0,100579.0,0.0908690101793
131,object,bottle,0.0902353555847,bottle,501809.0,481024.0,81346.0,0.0902353555847
478,object,sheep,0.088043891083,sheep,664438.0,441378.0,89482.0,0.088043891083
113,object,airplane,0.0870493230626,airplane,741699.0,466852.0,96779.0,0.0870493230626
323,object,bottle,0.0862867635434,bottle,501809.0,460124.0,76409.0,0.0862867635434
159,object,cow,0.0848948898344,cow,576414.0,453672.0,80606.0,0.0848948898344
8,object,water,0.0845304735229,water,3392151.0,508878.0,304054.0,0.0845304735229
178,object,bicycle,0.0843169978033,bicycle,587121.0,481031.0,83060.0,0.0843169978033
270,object,car,0.0835255429933,car,1813646.0,472711.0,176248.0,0.0835255429933
399,object,airplane,0.0828167104035,airplane,741699.0,487926.0,94045.0,0.0828167104035
33,object,airplane,0.0816830362995,airplane,741699.0,454875.0,90359.0,0.0816830362995
348,object,bottle,0.0808552106003,bottle,501809.0,439858.0,70443.0,0.0808552106003
200,object,motorbike,0.0801975886467,motorbike,732780.0,487651.0,90609.0,0.0801975886467
97,object,tvmonitor,0.0800531039726,tvmonitor,399637.0,457019.0,63495.0,0.0800531039726
266,object,cat,0.0788605157165,cat,3542972.0,470880.0,293397.0,0.0788605157165
